Vin,Vout,PSRR,Iload|max,Iload|min,Cload,Iquiescent,Transient Duration,LDO Type,Wpass,Wdiff,Wload,gm_id,fp1_sim,phase_margin,loopgain,Iq_sim,Power,l1,l2,STATUS,RETRIES_USED
1.507682969,1.107682969,69.611536,90.8195622,3.586659676,3.496558536,14.6436226,1,External,634474.5165,20.04096842,51.15090374,21.30612245,56.23413252,46.18745467,68.40148767,22,33.16902533,0.36,0.18,OK,1
2.713249631,0.913249631,69.98706999,57.80162524,2.892840472,1.632988797,20.84703209,2,External,609832.4344,17.97165645,109.9726545,21.57369615,63.09573445,46.79675299,70.84202889,30.9,83.83941361,0.18,0.18,OK,1
1.357779708,0.957779708,58.43525319,80.55747461,3.980258192,0.368924812,50.96293165,2,External,332185.4131,16.87589615,105.0749331,22,223.8721139,51.62989222,63.32740703,25.2,34.21604865,0.18,0.18,OK,0
1.493363995,1.093363995,41.92539757,15.35039768,2.085101972,0.001692579,72.66598983,1,Internal,896.8815559,0.725934756,2.122837056,6.734693878,1778.27941,71.16215095,56.48479593,36.2,54.05977663,0.18,0.18,OK,0
2.821345635,1.021345635,56.30580676,56.25167278,4.162892659,1.661887264,66.33022388,0.5,External,604.5366812,0.176878217,0.356425431,2.390022676,251.1886432,76.39621606,57.70290109,31.7,89.43665663,0.18,0.18,OK,0
1.562999613,1.162999613,30.48801563,44.15444933,1.191424698,0.008872315,57.60434206,2,Internal,2025.60148,0.464650343,1.32131011,5.693877551,354.8133892,67.37090198,55.88136068,29.3,45.79588867,0.18,0.18,OK,0
1.399380233,1.199380233,65.34376578,43.18343679,2.919502481,3.17477677,88.63094028,2,External,,,,,,,,,,,,FAILED,5
1.330482024,1.130482024,56.72740928,54.63932321,3.929087229,0.116397174,52.05796899,1,External,132291.0341,24.75418384,63.02056968,21.26530612,707.9457844,48.9512384,60.61655431,26,34.59253263,0.36,0.18,OK,0
1.388892436,0.988892436,41.78217069,17.47695406,9.193051919,0.001405906,19.85208388,0.5,Internal,1101.727414,0.212104287,0.625726456,7.081632653,31622.7766,45.42543587,47.48080502,9.85,13.6805905,0.18,0.18,OK,0
2.737331267,0.937331267,48.99922368,40.38552565,1.804699021,0.004758227,89.12064768,1,Internal,,,,,,,,,,,,FAILED,5
1.240220453,1.040220453,49.7836982,38.45087703,1.584877685,0.004614222,85.40431618,1,Internal,50523.24032,13.31066627,56.10928961,20.04081633,1584.893192,46.21397247,57.65245175,43,53.3294795,0.18,0.18,OK,0
1.549192755,1.149192755,54.61339623,21.77016304,1.881944836,1.013547485,80.16260262,1,External,,,,,,,,,,,,FAILED,5
2.717352803,0.917352803,54.32648046,54.23473483,3.38909629,2.672654354,33.42100312,2,External,582.8606508,0.089121476,0.179587747,2.390022676,158.4893192,77.57536982,58.91644939,16.2,44.02111541,0.18,0.18,OK,0
1.247355902,1.047355902,33.07791813,41.71249062,3.019965147,0.003014359,58.32769806,0.5,Internal,6432.23976,1.407129644,4.497186969,10.73469388,2511.886432,71.47315625,52.39297472,29.1,36.29805676,0.18,0.18,OK,0
1.474025862,1.074025862,39.14864196,22.60263947,3.456634374,0.005290091,13.99389972,1,Internal,1036.904336,0.206506662,0.320987629,5.693877551,794.3282347,70.67225965,56.27521457,7.02,10.34766155,0.36,0.18,OK,0
2.710626711,0.910626711,43.10483961,29.78858168,1.782880839,0.004676079,43.54196653,2,Internal,,,,,,,,,,,,FAILED,5
1.314635075,0.914635075,51.62092432,25.91740419,3.733035055,0.473041212,86.60862226,0.5,External,,,,,,,,,,,,FAILED,5
