Freq.	V(out)
Step Information: Temp=-40  (Run: 1/3)
6.30957344480192e+002	(5.29264705469287e+001dB,1.29848788901450e+002°)
7.07945784384136e+002	(5.23112455305382e+001dB,1.26629283304648e+002°)
7.94328234724279e+002	(5.16431998358493e+001dB,1.23511356996770e+002°)
8.91250938133743e+002	(5.09262445474898e+001dB,1.20526538447172e+002°)
9.99999999999997e+002	(5.01650060181948e+001dB,1.17699116295112e+002°)
1.12201845430196e+003	(4.93644805101014e+001dB,1.15045808048617e+002°)
1.25892541179416e+003	(4.85297250294633e+001dB,1.12576134995962e+002°)
1.41253754462275e+003	(4.76656123997977e+001dB,1.10293289474377e+002°)
1.58489319246111e+003	(4.67766604851137e+001dB,1.08195265001153e+002°)
1.77827941003892e+003	(4.58669314884622e+001dB,1.06276054015436e+002°)
1.99526231496887e+003	(4.49399890968731e+001dB,1.04526775174068e+002°)
2.23872113856833e+003	(4.39988983127011e+001dB,1.02936650521323e+002°)
2.51188643150957e+003	(4.30462534501911e+001dB,1.01493800120420e+002°)
2.81838293126444e+003	(4.20842222704345e+001dB,1.00185853982082e+002°)
3.16227766016837e+003	(4.11145972904888e+001dB,9.90003996141138e+001°)
3.54813389233574e+003	(4.01388481696438e+001dB,9.79252916725880e+001°)
3.98107170553496e+003	(3.91581714058017e+001dB,9.69488516698359e+001°)
4.46683592150961e+003	(3.81735352942404e+001dB,9.60599834554345e+001°)
5.01187233627270e+003	(3.71857192738973e+001dB,9.52482262943341e+001°)
5.62341325190347e+003	(3.61953475277761e+001dB,9.45037630814340e+001°)
6.30957344480190e+003	(3.52029171322252e+001dB,9.38173972283560e+001°)
7.07945784384135e+003	(3.42088212647355e+001dB,9.31805083305830e+001°)
7.94328234724278e+003	(3.32133680578600e+001dB,9.25849939459425e+001°)
8.91250938133741e+003	(3.22167956820433e+001dB,9.20232026498581e+001°)
9.99999999999995e+003	(3.12192841888304e+001dB,9.14878618924417e+001°)
1.12201845430196e+004	(3.02209645711592e+001dB,9.09720029698179e+001°)
1.25892541179416e+004	(2.92219254129589e+001dB,9.04688845466191e+001°)
1.41253754462275e+004	(2.82222174136151e+001dB,8.99719155528272e+001°)
1.58489319246111e+004	(2.72218559875133e+001dB,8.94745778674656e+001°)
1.77827941003891e+004	(2.62208220558421e+001dB,8.89703489520314e+001°)
1.99526231496887e+004	(2.52190610666554e+001dB,8.84526244812399e+001°)
2.23872113856833e+004	(2.42164801986629e+001dB,8.79146410249255e+001°)
2.51188643150957e+004	(2.32129436228833e+001dB,8.73493989635198e+001°)
2.81838293126444e+004	(2.22082656130317e+001dB,8.67495860845364e+001°)
3.16227766016836e+004	(2.12022012099346e+001dB,8.61075027372624e+001°)
3.54813389233573e+004	(2.01944340586178e+001dB,8.54149900611053e+001°)
3.98107170553495e+004	(1.91845609528185e+001dB,8.46633637101730e+001°)
4.46683592150960e+004	(1.81720725485939e+001dB,8.38433567499545e+001°)
5.01187233627269e+004	(1.71563296610276e+001dB,8.29450770931035e+001°)
5.62341325190346e+004	(1.61365345599759e+001dB,8.19579870677807e+001°)
6.30957344480189e+004	(1.51116967703291e+001dB,8.08709155572962e+001°)
7.07945784384133e+004	(1.40805931156898e+001dB,7.96721166444107e+001°)
7.94328234724276e+004	(1.30417222005312e+001dB,7.83493927458000e+001°)
8.91250938133740e+004	(1.19932543072211e+001dB,7.68903045054852e+001°)
9.99999999999993e+004	(1.09329789099037e+001dB,7.52824935048450e+001°)
1.12201845430196e+005	(9.85825378962484e+000dB,7.35141458057655e+001°)
1.25892541179416e+005	(8.76596212882888e+000dB,7.15746223175159e+001°)
1.41253754462274e+005	(7.65248687349474e+000dB,6.94552729072746e+001°)
1.58489319246110e+005	(6.51371469845947e+000dB,6.71504313740620e+001°)
1.77827941003891e+005	(5.34508427970335e+000dB,6.46585545663972e+001°)
1.99526231496887e+005	(4.14169392425401e+000dB,6.19834201734092e+001°)
2.23872113856832e+005	(2.89848019456172e+000dB,5.91352387165001e+001°)
2.51188643150956e+005	(1.61047039215371e+000dB,5.61314793208162e+001°)
2.81838293126443e+005	(2.73097209963364e-001dB,5.29971785974903e+001°)
3.16227766016835e+005	(-1.11745448524507e+000dB,4.97645243330588e+001°)
3.54813389233573e+005	(-2.56391586736633e+000dB,4.64715993342942e+001°)
3.98107170553494e+005	(-4.06767322332596e+000dB,4.31603299816287e+001°)
4.46683592150960e+005	(-5.62862806538629e+000dB,3.98738694565507e+001°)
5.01187233627268e+005	(-7.24520722466088e+000dB,3.66537936318925e+001°)
5.62341325190344e+005	(-8.91452079141866e+000dB,3.35375392927492e+001°)
6.30957344480188e+005	(-1.06326354363528e+001dB,3.05564477930703e+001°)
7.07945784384132e+005	(-1.23949112607994e+001dB,2.77346205359884e+001°)
7.94328234724275e+005	(-1.41963467333601e+001dB,2.50886073640566e+001°)
8.91250938133738e+005	(-1.60318865030118e+001dB,2.26277967991153e+001°)
9.99999999999991e+005	(-1.78966645139620e+001dB,2.03552930871131e+001°)
1.12201845430195e+006	(-1.97861729222028e+001dB,1.82690509180043e+001°)
1.25892541179416e+006	(-2.16963611630657e+001dB,1.63630738336449e+001°)
1.41253754462274e+006	(-2.36236775284810e+001dB,1.46285397927361e+001°)
1.58489319246110e+006	(-2.55650684324231e+001dB,1.30547755741475e+001°)
1.77827941003891e+006	(-2.75179498379492e+001dB,1.16300486159426e+001°)
1.99526231496886e+006	(-2.94801627968454e+001dB,1.03421767657414e+001°)
2.23872113856832e+006	(-3.14499219873951e+001dB,9.17897460750486e+000°)
2.51188643150956e+006	(-3.34257632785659e+001dB,8.12856298132818e+000°)
2.81838293126443e+006	(-3.54064940332148e+001dB,7.17956966690220e+000°)
3.16227766016835e+006	(-3.73911481572953e+001dB,6.32124690434741e+000°)
3.54813389233572e+006	(-3.93789467400725e+001dB,5.54352751659763e+000°)
3.98107170553494e+006	(-4.13692643963938e+001dB,4.83703711822007e+000°)
4.46683592150959e+006	(-4.33616009982297e+001dB,4.19307590854009e+000°)
5.01187233627268e+006	(-4.53555582693848e+001dB,3.60358013942363e+000°)
5.62341325190344e+006	(-4.73508206386399e+001dB,3.06107059009536e+000°)
6.30957344480187e+006	(-4.93471397487923e+001dB,2.55859323169295e+000°)
7.07945784384131e+006	(-5.13443220660410e+001dB,2.08965563488303e+000°)
7.94328234724274e+006	(-5.33422191029216e+001dB,1.64816146588511e+000°)
8.91250938133737e+006	(-5.53407198447111e+001dB,1.22834453760410e+000°)
9.99999999999990e+006	(-5.73397450462029e+001dB,8.24703255340606e-001°)
1.12201845430195e+007	(-5.93392431392525e+001dB,4.31935858672791e-001°)
1.25892541179415e+007	(-6.13391875602379e+001dB,4.48765655060785e-002°)
1.41253754462274e+007	(-6.33395753707751e+001dB,-3.41567462958808e-001°)
1.58489319246110e+007	(-6.53404271057442e+001dB,-7.32478519140963e-001°)
1.77827941003890e+007	(-6.73417878414500e+001dB,-1.13299031942721e+000°)
1.99526231496886e+007	(-6.93437295352980e+001dB,-1.54834971948486e+000°)
2.23872113856832e+007	(-7.13463547484617e+001dB,-1.98397823270557e+000°)
2.51188643150955e+007	(-7.33498019262230e+001dB,-2.44553320952982e+000°)
2.81838293126442e+007	(-7.53542524781161e+001dB,-2.93896822384447e+000°)
3.16227766016834e+007	(-7.73599399719761e+001dB,-3.47059175344247e+000°)
3.54813389233572e+007	(-7.93671618312636e+001dB,-4.04712258305372e+000°)
3.98107170553493e+007	(-8.13762939997568e+001dB,-4.67573943088259e+000°)
4.46683592150958e+007	(-8.33878091036861e+001dB,-5.36412101230021e+000°)
5.01187233627267e+007	(-8.54022986833862e+001dB,-6.12047099554869e+000°)
5.62341325190343e+007	(-8.74205000582169e+001dB,-6.95351994657180e+000°)
6.30957344480186e+007	(-8.94433282867222e+001dB,-7.87249327853956e+000°)
7.07945784384130e+007	(-9.14719134214292e+001dB,-8.88703033698551e+000°)
7.94328234724272e+007	(-9.35076427347040e+001dB,-1.00070351167462e+001°)
8.91250938133735e+007	(-9.55522066712285e+001dB,-1.12424340642445e+001°)
9.99999999999989e+007	(-9.76076457935402e+001dB,-1.26028118531593e+001°)
1.12201845430195e+008	(-9.96763937566128e+001dB,-1.40968937162841e+001°)
1.25892541179415e+008	(-1.01761308279021e+002dB,-1.57318459384856e+001°)
1.41253754462274e+008	(-1.03865678305088e+002dB,-1.75123789998907e+001°)
1.58489319246109e+008	(-1.05993191670839e+002dB,-1.94396661049005e+001°)
1.77827941003890e+008	(-1.08147844907201e+002dB,-2.15101380228239e+001°)
1.99526231496886e+008	(-1.10333777448391e+002dB,-2.37142831809686e+001°)
2.23872113856831e+008	(-1.12555018991698e+002dB,-2.60356598662361e+001°)
2.51188643150955e+008	(-1.14815152907969e+002dB,-2.84503917669389e+001°)
2.81838293126442e+008	(-1.17116919848181e+002dB,-3.09274344097814e+001°)
3.16227766016834e+008	(-1.19461809603664e+002dB,-3.34298352034560e+001°)
3.54813389233571e+008	(-1.21849707861420e+002dB,-3.59170523193859e+001°)
3.98107170553492e+008	(-1.24278669077910e+002dB,-3.83481743396766e+001°)
4.46683592150958e+008	(-1.26744872475023e+002dB,-4.06856565646002e+001°)
5.01187233627266e+008	(-1.29242787538621e+002dB,-4.28990342907149e+001°)
5.62341325190342e+008	(-1.31765537256992e+002dB,-4.49680350212784e+001°)
6.30957344480185e+008	(-1.34305412299586e+002dB,-4.68845896119651e+001°)
7.07945784384129e+008	(-1.36854464391609e+002dB,-4.86533984590342e+001°)
7.94328234724271e+008	(-1.39405093664231e+002dB,-5.02908992093349e+001°)
8.91250938133734e+008	(-1.41950541090347e+002dB,-5.18226843180541e+001°)
1.00000000000000e+009	(-1.44485202892932e+002dB,-5.32796279059549e+001°)
