Freq.	V(out)
Step Information: Temp=-40  (Run: 1/3)
1.41253754462275e+003	(5.59275771754245e+001dB,1.07048837426100e+002°)
1.58489319246111e+003	(5.50070295003181e+001dB,1.05238384500315e+002°)
1.77827941003892e+003	(5.40711857157903e+001dB,1.03592061534215e+002°)
1.99526231496887e+003	(5.31228213862942e+001dB,1.02098407886666e+002°)
2.23872113856833e+003	(5.21642669572723e+001dB,1.00745260982965e+002°)
2.51188643150957e+003	(5.11974571426878e+001dB,9.95202667374682e+001°)
2.81838293126444e+003	(5.02239834872408e+001dB,9.84112412943659e+001°)
3.16227766016837e+003	(4.92451454932307e+001dB,9.74064120625287e+001°)
3.54813389233574e+003	(4.82619976599569e+001dB,9.64945649495692e+001°)
3.98107170553496e+003	(4.72753911599553e+001dB,9.56651212702533e+001°)
4.46683592150961e+003	(4.62860097739289e+001dB,9.49081635675391e+001°)
5.01187233627270e+003	(4.52944002455691e+001dB,9.42144254190625e+001°)
5.62341325190347e+003	(4.43009975071120e+001dB,9.35752566298916e+001°)
6.30957344480190e+003	(4.33061453522459e+001dB,9.29825721792776e+001°)
7.07945784384135e+003	(4.23101131573950e+001dB,9.24287908906038e+001°)
7.94328234724278e+003	(4.13131092183014e+001dB,9.19067679559637e+001°)
8.91250938133741e+003	(4.03152912040437e+001dB,9.14097240729472e+001°)
9.99999999999995e+003	(3.93167741522665e+001dB,9.09311729457308e+001°)
1.12201845430196e+004	(3.83176363472532e+001dB,9.04648481822064e+001°)
1.25892541179416e+004	(3.73179233415529e+001dB,9.00046301164437e+001°)
1.41253754462275e+004	(3.63176503041379e+001dB,8.95444727501959e+001°)
1.58489319246111e+004	(3.53168028036503e+001dB,8.90783308021883e+001°)
1.77827941003891e+004	(3.43153360632269e+001dB,8.86000867564636e+001°)
1.99526231496887e+004	(3.33131726521831e+001dB,8.81034777998577e+001°)
2.23872113856833e+004	(3.23101985078096e+001dB,8.75820226335935e+001°)
2.51188643150957e+004	(3.13062571061891e+001dB,8.70289483459946e+001°)
2.81838293126444e+004	(3.03011415232929e+001dB,8.64371178652042e+001°)
3.16227766016836e+004	(2.92945840467608e+001dB,8.57989590084768e+001°)
3.54813389233573e+004	(2.82862429166119e+001dB,8.51063968587345e+001°)
3.98107170553495e+004	(2.72756856945796e+001dB,8.43507921964656e+001°)
4.46683592150960e+004	(2.62623686964748e+001dB,8.35228900785428e+001°)
5.01187233627269e+004	(2.52456118868316e+001dB,8.26127844805000e+001°)
5.62341325190346e+004	(2.42245686576011e+001dB,8.16099073022534e+001°)
6.30957344480189e+004	(2.31981900352464e+001dB,8.05030530540137e+001°)
7.07945784384133e+004	(2.21651831452387e+001dB,7.92804541960797e+001°)
7.94328234724276e+004	(2.11239642948646e+001dB,7.79299262629125e+001°)
8.91250938133740e+004	(2.00726079224769e+001dB,7.64391061451452e+001°)
9.99999999999993e+004	(1.90087940244322e+001dB,7.47958103685622e+001°)
1.12201845430196e+005	(1.79297586136789e+001dB,7.29885413636455e+001°)
1.25892541179416e+005	(1.68322543122148e+001dB,7.10071661684398e+001°)
1.41253754462274e+005	(1.57125311782243e+001dB,6.88437804772646e+001°)
1.58489319246110e+005	(1.45663508375263e+001dB,6.64937477166583e+001°)
1.77827941003891e+005	(1.33890489763372e+001dB,6.39568649820430e+001°)
1.99526231496887e+005	(1.21756607854461e+001dB,6.12385554592609e+001°)
2.23872113856832e+005	(1.09211192499356e+001dB,5.83509270623951e+001°)
2.51188643150956e+005	(9.62052584711312e+000dB,5.53134853187680e+001°)
2.81838293126443e+005	(8.26947734474532e+000dB,5.21532695886785e+001°)
3.16227766016835e+005	(6.86441376657615e+000dB,4.89042217540128e+001°)
3.54813389233573e+005	(5.40293698921330e+000dB,4.56057093073547e+001°)
3.98107170553494e+005	(3.88404404499985e+000dB,4.23002960360858e+001°)
4.46683592150960e+005	(2.30822914563563e+000dB,3.90310356665646e+001°)
5.01187233627268e+005	(6.77433096727820e-001dB,3.58386911838269e+001°)
5.62341325190344e+005	(-1.00514923013096e+000dB,3.27593031515301e+001°)
